Scenario,30201,50102,293874,300871,301060,343310
11,653.0,665.0,667.0,681.0,656.0,660.0
12,588.0,614.0,604.0,600.0,547.0,583.0
13,684.0,569.0,642.0,631.0,642.0,603.0
14,591.0,594.0,596.0,581.0,507.0,577.0
31,682.0,680.0,682.0,721.0,685.0,709.0
32,801.0,784.0,685.0,701.0,777.0,755.0
33,824.0,790.0,762.0,756.0,739.0,778.0
34,675.0,713.0,742.0,771.0,704.0,700.0
51,678.0,682.0,684.0,706.0,708.0,686.0
52,855.0,810.0,829.0,861.0,873.0,812.0
53,735.0,833.0,807.0,846.0,845.0,830.0
54,825.0,774.0,813.0,781.0,827.0,815.0
