Scenario,30201,50102,293874,300871,301060,343310
11,12659.244217395782,12444.916667461395,10676.348374843597,11893.014745235443,9052.141551971436,12061.566707372665
12,14271.245882034302,13063.538262605667,18051.173613786697,18779.001658439636,17779.305382490158,19199.80214190483
13,25365.828755378723,23758.08842611313,20221.18110704422,18889.876995563507,24098.216424942017,15938.55586361885
14,18502.334426403046,15946.739868164062,29687.42958164215,26004.127161741257,15631.829552650452,17244.27860569954
31,19727.572003126144,20448.82895040512,24276.18780374527,26115.090134620667,24246.80287861824,22416.329726934433
32,23048.910566329956,28690.551214694977,33288.62728357315,26069.46350502968,29010.098732471466,35872.312836408615
33,23892.696155309677,30160.598801851273,29897.07111597061,32182.215319156647,25799.33105158806,22035.062222480774
34,44412.820293426514,35092.1060860157,52650.9451277256,33704.77730989456,55043.963554382324,51546.13026762009
51,42084.34156155586,43671.83925795555,40729.40079212189,32419.81402540207,42928.7796664238,37449.23754119873
52,47798.89220118523,52193.95962524414,44996.54898929596,39786.63237500191,49579.883522987366,41548.77970170975
53,48610.63959622383,56982.44988131523,48743.5918443203,47877.67364859581,44564.39888572693,40651.77993631363
54,59375.39518690109,87943.7500770092,66545.11098384857,75081.08493709564,94046.63792991638,73814.31796383858
