Scenario,n0,Mean,StdDev,HalfWidth_pilot,Target,N_required,Extra_needed
11,6,775.83,18.52,19.43,36.94,6,0
12,6,703.17,9.58,10.05,33.48,6,0
13,6,807.67,15.67,16.44,38.46,6,0
14,6,708.0,14.7,15.42,33.71,6,0
31,6,854.0,15.9,16.69,40.67,6,0
32,6,812.33,17.32,18.17,38.68,6,0
33,6,910.0,21.54,22.61,43.33,6,0
34,6,810.67,22.38,23.48,38.6,6,0
51,6,854.67,19.04,19.99,40.7,6,0
52,6,844.5,14.31,15.01,40.21,6,0
53,6,916.5,12.29,12.9,43.64,6,0
54,6,845.83,16.76,17.59,40.28,6,0
