Scenario,n0,Mean,StdDev,HalfWidth_pilot,Target,N_required,Extra_needed
11,6,617.5,4.51,4.73,29.4,6,0
12,6,627.0,11.66,12.24,29.86,6,0
13,6,619.17,12.16,12.76,29.48,6,0
14,6,630.0,14.39,15.11,30.0,6,0
31,6,718.33,18.37,19.28,34.21,6,0
32,6,732.17,12.78,13.41,34.87,6,0
33,6,726.33,19.41,20.37,34.59,6,0
34,6,740.83,15.6,16.37,35.28,6,0
51,6,727.67,13.26,13.92,34.65,6,0
52,6,732.83,12.46,13.08,34.9,6,0
53,6,732.5,7.61,7.99,34.88,6,0
54,6,738.33,10.46,10.98,35.16,6,0
