Scenario,30201,50102,293874,300871,301060,343310
11,614.0,605.0,615.0,615.0,613.0,607.0
12,659.0,619.0,617.0,621.0,618.0,639.0
13,629.0,603.0,621.0,622.0,593.0,624.0
14,639.0,633.0,629.0,634.0,616.0,626.0
31,723.0,710.0,712.0,711.0,719.0,730.0
32,742.0,716.0,749.0,721.0,701.0,757.0
33,737.0,726.0,766.0,734.0,735.0,719.0
34,739.0,728.0,741.0,744.0,719.0,742.0
51,714.0,718.0,754.0,732.0,716.0,724.0
52,711.0,728.0,735.0,749.0,734.0,741.0
53,744.0,730.0,741.0,721.0,733.0,743.0
54,726.0,744.0,735.0,739.0,746.0,738.0
