Scenario,30201,50102,293874,300871,301060,343310
11,19.795032073147294,19.828547142833877,19.80012468424611,19.82847742199726,19.849180763308883,19.762752669872903
12,19.912131420044652,19.83356961673652,19.836950429039643,19.89831775779368,19.78893349730365,19.888335279095653
13,19.86441428875162,19.873320618739072,19.848971081965143,19.895948728168655,19.899635564930254,19.80849814688889
14,19.922968336618755,19.903323714353203,19.87585100933823,19.931662570809024,19.85332600549033,19.920447862996298
31,29.565501828421734,29.38705525967966,29.629234937624084,29.555236972285154,29.5590428195515,29.519587561716676
32,29.584558936653647,29.596853863046032,29.745841058048033,29.692348128069938,29.487267189216695,29.75736102355012
33,29.7175177563954,29.608739952095863,29.76000574870592,29.66348343468256,29.64133821771034,29.719185093441567
34,29.670158082875524,29.744788921310615,29.839592245535012,29.784991667757012,29.70526847800354,29.847900668414315
51,38.730738887606016,38.751001385895414,38.971392787252725,39.3478382834171,39.17834629039788,39.21593352273651
52,39.18175948389666,39.43199729591585,39.36181832047148,39.34593656468337,39.220590367750965,39.420514516549666
53,39.19197868454491,39.2946021216039,39.4254022845469,39.501584513234405,39.43253106705499,39.4390258916384
54,39.39767317816545,39.64834405134941,39.52647954796387,39.51645437482522,39.467367414640954,39.551688319612836
