Scenario,OrderSize,30201,50102,293874,300871,301060,343310
54,2,1017.91,1234.87,1083.21,1178.83,1065.9,1012.36
54,3,1159.11,1402.0,1174.7,1291.73,1218.94,1353.63
54,4,1269.79,1015.44,977.67,1328.08,1177.49,1390.72
54,5,1607.74,1117.44,1058.61,886.54,1277.4,1199.72
54,6,1521.85,1451.78,851.67,1841.17,1401.58,1014.72
54,7,1117.57,255.0,1945.77,1803.92,2528.63,1376.11
54,8,979.98,1584.85,1364.5,1471.3,1119.02,2157.31
54,9,1478.57,1892.52,,2030.75,,
54,12,876.11,,,,,
54,13,,,,,1343.21,
54,14,,,,1764.63,,
54,Total,1017.16,1157.71,1009.47,1160.79,1078.48,1097.47
