Scenario,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,800.0,781.0,785.0,807.0,804.0,791.0,816.0,806.0,780.0,778.0
12,742.0,747.0,761.0,737.0,716.0,721.0,730.0,738.0,728.0,738.0
13,833.0,831.0,824.0,852.0,831.0,812.0,865.0,834.0,807.0,864.0
14,725.0,753.0,760.0,718.0,712.0,725.0,703.0,723.0,739.0,680.0
31,860.0,836.0,842.0,857.0,890.0,874.0,867.0,878.0,820.0,844.0
32,856.0,807.0,842.0,834.0,843.0,811.0,822.0,824.0,878.0,787.0
33,954.0,974.0,969.0,926.0,948.0,922.0,944.0,927.0,962.0,966.0
34,847.0,799.0,853.0,851.0,857.0,810.0,844.0,847.0,865.0,797.0
51,860.0,836.0,842.0,857.0,892.0,889.0,867.0,880.0,820.0,844.0
52,853.0,841.0,887.0,839.0,866.0,862.0,865.0,827.0,880.0,850.0
53,906.0,918.0,898.0,948.0,920.0,898.0,894.0,929.0,941.0,945.0
54,883.0,841.0,838.0,846.0,808.0,838.0,845.0,841.0,907.0,872.0
