Scenario,n0,Mean,StdDev,HalfWidth_pilot,Target,N_required,Extra_needed
11,14,614.64,7.33,4.23,12.05,14,0
12,14,630.29,13.86,8.0,12.36,14,0
13,14,616.57,10.09,5.83,12.09,14,0
14,14,632.21,14.91,8.61,12.4,14,0
31,14,719.64,15.55,8.98,14.11,14,0
32,14,732.86,10.54,6.08,14.37,14,0
33,14,729.36,15.9,9.18,14.3,14,0
34,14,738.79,12.15,7.01,14.49,14,0
51,14,727.43,10.97,6.34,14.26,14,0
52,14,736.5,10.88,6.28,14.44,14,0
53,14,732.36,10.06,5.81,14.36,14,0
54,14,742.93,11.89,6.87,14.57,14,0
