Scenario,OrderSize,30201,50102,130944,189463,293874,300871,301060,343310,470129,570183,612937,789124,846208,987034
11,1,952.54,892.04,881.62,880.74,922.82,971.07,1136.86,1084.61,725.54,911.82,1043.56,920.27,859.91,878.0
11,2,878.15,845.21,1011.13,942.47,1049.67,893.48,1026.44,1006.91,947.13,1111.56,1060.83,970.07,927.23,880.35
11,3,851.22,1158.25,1051.65,758.85,1020.67,847.36,819.4,1015.27,899.58,886.75,989.85,751.49,914.03,1120.0
11,4,985.39,810.49,1058.17,1028.67,875.56,1409.12,1180.61,768.96,1128.1,1072.9,884.8,957.31,1075.95,1396.82
11,5,855.42,1159.59,966.39,1185.95,127.7,645.53,1489.6,1402.19,1558.32,750.63,550.94,1144.19,801.26,557.16
11,6,3105.12,540.76,295.6,,990.54,,1009.41,638.61,846.95,,,369.86,1985.32,
11,7,,,585.9,,,,,494.27,,,,,,
11,9,,,,,,,,,,,,,994.56,
11,Total,921.82,893.16,945.07,898.29,980.9,949.58,1061.4,1038.23,842.72,990.47,1029.93,922.72,901.35,914.42
12,1,1044.59,1140.99,999.36,1097.88,1008.24,1205.61,1200.14,1165.85,1019.91,1079.42,1085.67,827.42,1118.39,1072.94
12,2,1143.37,1084.99,1162.77,1106.72,1309.95,1210.3,1229.15,1084.82,1087.71,1263.75,1202.85,967.95,1065.77,1143.91
12,3,1247.29,1163.11,1259.59,1056.58,1060.93,1106.72,1218.4,1225.67,1303.45,1269.1,1131.77,1008.02,1330.15,1015.33
12,4,1119.42,1583.44,1131.2,922.18,1190.27,1083.57,864.43,1075.37,1234.67,996.7,1025.8,1065.48,981.17,1330.26
12,5,1630.41,1264.11,1207.84,980.91,1407.14,1387.74,1172.34,1148.58,1162.16,1184.33,1139.89,973.02,1539.95,1277.8
12,6,1397.06,1295.76,1749.52,1179.92,1144.66,1087.14,575.04,1080.16,1192.43,1463.58,1027.0,1004.65,1224.3,2439.53
12,7,758.6,1118.33,,648.85,1726.03,937.01,1127.26,1156.68,1307.93,878.94,839.66,1491.08,1410.3,2014.88
12,8,450.36,808.34,,,449.08,,868.62,,,,886.49,1456.66,1234.25,1312.82
12,9,2911.98,,800.8,,,3565.16,,683.23,,1008.2,,1686.26,2868.25,1041.46
12,10,1559.71,1118.12,505.31,1639.16,951.63,,,,1904.55,,,,1231.56,
12,11,,,,,1760.92,2063.1,,,,,,,,
12,12,,,985.09,,,,,,,,,,,
12,13,,335.36,,,,,,,,,,,,
12,15,,,,,,,,,,,,,1684.89,
12,Total,1139.64,1152.11,1109.96,1078.95,1142.19,1195.31,1178.79,1137.63,1116.1,1169.72,1117.16,923.4,1146.16,1132.29
13,1,1310.99,1195.69,1178.25,1145.69,1163.29,1292.36,1371.8,1376.38,1028.83,1224.72,1312.56,1220.38,1152.96,1135.04
13,2,1184.38,1126.81,1267.85,1228.36,1286.29,1137.67,1257.38,1221.17,1239.56,1332.78,1330.79,1248.09,1182.68,1156.33
13,3,1259.76,1425.83,1347.11,1076.03,1387.77,1154.17,1066.24,1283.5,1280.32,1186.99,1136.76,1060.87,1167.92,1352.72
13,4,1245.13,1118.31,1379.27,1367.0,1268.61,1584.17,1114.89,1122.11,1361.92,1450.96,1375.82,1266.47,1258.16,1727.89
13,5,877.47,1365.85,1171.93,1298.07,201.14,742.48,1844.79,1505.25,1823.52,1063.4,695.44,1421.92,1494.57,988.17
13,6,3066.24,1023.32,171.29,,1478.26,,1065.58,914.0,1398.26,,,463.19,2057.1,
13,7,,,1283.65,,,,,647.97,,,,,,
13,9,,,,,,,,,,,,,1484.02,
13,Total,1257.23,1184.05,1223.85,1175.5,1240.98,1236.39,1286.6,1299.27,1146.6,1269.88,1289.79,1215.37,1177.46,1178.79
14,1,1201.63,1364.24,1230.44,1287.63,1214.21,1499.39,1476.21,1434.85,1225.76,1345.66,1321.81,1157.18,1346.01,1233.56
14,2,1358.67,1372.85,1370.9,1339.62,1521.29,1453.0,1505.55,1304.49,1258.33,1553.19,1426.16,1304.01,1260.19,1392.79
14,3,1399.28,1380.91,1465.26,1327.01,1351.44,1324.22,1448.39,1423.35,1342.15,1583.76,1420.13,1269.25,1508.97,1182.74
14,4,1220.46,1904.52,1349.25,1221.43,1346.29,1325.73,1083.76,1341.46,1446.95,1150.67,1189.04,1615.13,1248.44,1557.97
14,5,1722.05,1255.25,1564.1,1250.12,1107.11,1417.12,1559.5,1384.79,1191.8,1416.97,1351.1,1590.31,1484.96,1405.21
14,6,1807.87,1598.05,1888.21,1256.1,1345.1,1183.45,999.66,1293.84,1438.16,1664.77,1500.38,1130.91,1260.97,2680.38
14,7,853.52,1539.71,,677.85,1936.38,920.35,1503.5,1377.88,1825.73,904.94,1227.71,1711.3,1625.69,2151.41
14,8,504.0,1214.13,,,556.93,,687.52,,2050.91,,1260.45,1726.21,1919.28,1614.28
14,9,2928.73,,1006.53,,,3390.91,,909.31,,1311.95,,1396.69,3189.63,1243.88
14,10,1897.59,1164.78,447.76,2066.58,1081.85,,,,2329.71,,,,1316.8,
14,11,,,,,2195.4,1925.38,,,,,,,,
14,12,,,1041.38,,,,,,,,,,,
14,13,,251.63,,,,,,,,,,,,
14,15,,,,,,,,,,,,,1614.51,
14,Total,1313.65,1398.4,1331.16,1303.5,1345.65,1441.92,1446.19,1377.28,1292.91,1436.47,1356.26,1254.5,1347.46,1333.37
31,1,495.17,577.08,520.68,525.39,589.64,541.89,598.57,593.66,484.31,527.23,640.37,491.71,443.13,449.54
31,2,601.43,510.16,604.42,586.13,747.14,545.02,575.4,689.77,640.4,552.88,603.76,617.06,539.87,389.58
31,3,523.57,627.87,816.0,339.11,480.42,475.76,566.19,631.11,634.76,570.82,693.37,419.98,429.54,712.66
31,4,767.0,601.12,403.38,695.73,725.48,853.29,624.97,612.72,808.29,706.19,409.04,713.01,949.12,1032.43
31,5,926.68,992.78,1210.94,787.67,161.91,585.43,1284.11,1651.22,451.96,465.98,409.6,1260.82,186.49,395.22
31,6,3524.18,500.92,191.64,,579.98,,411.06,502.22,466.92,,,239.45,1686.92,
31,7,,,544.63,,,,,341.15,,,,,,
31,9,,,,,,,,,,,,,412.85,
31,Total,560.02,562.51,579.2,537.87,641.14,552.44,590.33,642.84,559.93,549.2,623.43,538.13,495.45,468.81
32,1,735.0,810.85,712.19,704.82,832.34,768.46,726.38,925.3,868.9,823.67,862.09,622.43,674.73,812.39
32,2,770.76,882.69,832.72,714.83,1045.44,819.05,845.79,854.03,834.27,974.78,958.37,726.05,784.48,879.42
32,3,1027.15,812.79,967.33,777.4,881.62,751.05,848.22,835.87,1071.59,852.39,818.73,687.91,820.3,864.69
32,4,866.81,1466.98,852.55,705.36,980.8,680.57,656.77,1026.9,923.53,857.63,916.14,918.36,753.47,925.55
32,5,1176.96,1258.15,689.71,662.54,1108.72,775.61,1073.02,775.35,958.13,1038.81,797.85,786.59,979.35,1024.62
32,6,1108.22,874.99,1270.25,1214.3,906.05,1108.96,481.03,1006.08,1128.66,1282.05,1068.47,1103.32,1310.1,1118.97
32,7,492.18,1010.46,1078.74,741.8,1031.51,943.17,943.72,896.61,1040.96,700.5,709.3,1478.1,1405.34,1908.84
32,8,452.44,923.5,,,735.87,,653.55,,1413.32,,698.01,1419.07,823.62,957.96
32,9,3474.2,,502.78,,,,,614.09,,723.65,,1967.03,,736.28
32,10,1180.01,1034.67,461.9,865.89,809.08,1031.06,,,1284.12,,,,1367.23,
32,11,,,,,1197.32,2231.49,,,,,,,,
32,12,,,614.22,,,,,,,,,,,
32,13,,366.44,,,,,,,,,,,,
32,15,,,,,,,,,,,,,984.19,
32,Total,833.16,890.12,801.38,723.33,923.05,790.62,785.91,893.3,913.91,892.01,884.69,701.88,765.64,873.6
33,1,906.15,880.64,895.72,860.32,989.12,957.89,1104.86,1042.09,882.32,964.28,1115.19,888.95,867.23,859.95
33,2,996.56,859.32,948.83,956.54,1084.79,926.05,1011.1,1040.05,1024.57,1003.53,1045.42,1026.53,928.62,846.06
33,3,919.66,1043.89,1095.42,721.32,1018.6,830.98,931.67,1070.1,1063.83,931.84,950.77,841.97,811.91,1034.72
33,4,1187.13,1068.87,806.49,1124.17,973.49,1254.09,959.75,920.93,1201.04,1155.77,916.59,1214.86,1241.3,1460.08
33,5,1058.0,1354.49,1405.36,950.42,218.55,655.23,1447.16,1654.08,991.38,703.58,835.24,1452.16,1149.66,1085.34
33,6,,950.49,191.96,,1142.01,,951.69,1161.78,970.13,,,412.02,1934.74,
33,7,,,629.25,,,,,649.86,,,,,,
33,9,,,,,,,,,,,,,703.82,
33,Total,952.37,897.1,929.27,890.84,1027.78,948.77,1048.87,1046.01,958.38,982.3,1063.79,942.46,900.65,889.02
34,1,1055.82,1211.43,1005.6,1033.89,1026.15,1167.98,1094.98,1096.67,1104.18,1170.98,1193.94,931.61,1050.93,1175.92
34,2,1108.42,1209.21,1201.12,1069.45,1307.79,1273.59,1175.8,1164.46,1141.39,1245.4,1299.96,1021.19,1028.22,1231.28
34,3,1203.84,1137.73,1337.37,1274.0,1172.19,1194.08,1137.4,1182.16,1262.41,1175.19,1088.87,1071.37,1187.97,1162.56
34,4,1061.52,1682.59,1052.04,1107.11,1225.51,1072.65,932.37,1219.42,1080.99,1214.68,1193.88,1341.05,1147.71,1239.06
34,5,1550.32,1564.71,1096.87,1074.65,1054.21,1289.44,1368.74,1135.58,1206.49,1238.57,1064.01,1316.23,1302.39,1293.6
34,6,1530.26,1196.26,1377.01,1227.9,1204.01,1186.99,428.43,1289.02,1192.49,1613.75,1241.02,1363.04,1436.19,1518.84
34,7,524.47,1417.25,1850.13,1360.79,1264.65,1436.01,1250.03,1202.21,1304.51,927.5,1172.45,1721.03,1481.36,1923.94
34,8,514.37,1170.36,,,659.58,,1157.32,,1692.16,,1068.2,1857.04,1047.86,1084.1
34,9,,,795.28,,,,,849.56,,765.59,,2033.28,,894.69
34,10,1455.31,1079.54,566.18,1423.76,1063.88,1629.2,,,2202.93,,,,1616.29,
34,11,,,,,1796.38,2335.28,,,,,,,,
34,12,,,750.81,,,,,,,,,,,
34,13,,387.36,,,,,,,,,,,,
34,15,,,,,,,,,,,,,1188.56,
34,Total,1116.68,1236.71,1125.02,1094.25,1155.46,1206.31,1121.61,1148.0,1152.18,1203.91,1201.59,1030.36,1092.19,1205.68
51,1,387.59,450.44,388.94,414.96,379.28,370.24,479.99,406.76,339.23,411.05,474.49,358.13,439.35,425.46
51,2,471.8,420.66,458.39,507.71,533.72,461.11,506.82,396.65,480.47,494.52,449.3,527.28,453.11,380.11
51,3,376.5,474.33,522.9,376.07,456.36,439.69,419.3,470.98,500.26,618.86,562.86,414.07,338.44,606.58
51,4,666.1,765.01,342.33,859.64,819.12,614.27,815.14,572.6,483.78,706.29,373.23,296.48,539.22,844.94
51,5,494.88,393.98,1423.05,882.34,161.56,544.53,409.02,1478.32,314.55,379.61,424.47,1108.8,697.23,374.49
51,6,,430.75,185.64,,345.3,,484.45,612.49,233.86,,,461.61,1160.62,329.0
51,7,,,315.17,,,,,564.83,,,,,,
51,9,,,,,,,,,,,,,389.69,
51,Total,429.75,450.93,427.3,461.47,456.67,418.61,490.16,431.72,404.94,474.68,471.6,424.78,439.08,436.29
52,1,641.75,709.83,580.08,603.23,647.69,595.78,558.59,578.07,684.05,636.32,673.12,454.72,564.35,725.35
52,2,770.7,774.41,726.68,658.58,826.39,682.97,797.08,692.68,724.03,820.02,899.47,556.01,699.57,764.68
52,3,865.43,699.76,777.69,752.97,870.59,674.6,717.13,727.08,861.5,843.4,723.28,679.5,656.48,856.83
52,4,671.56,1169.8,659.99,736.35,827.32,689.52,794.08,897.95,975.61,966.77,891.46,889.31,588.47,986.88
52,5,1349.57,1135.83,742.31,713.94,899.96,860.95,638.05,719.31,740.57,979.77,863.45,709.86,1137.53,857.42
52,6,967.83,1179.75,1513.5,1451.86,617.36,679.1,732.56,1023.77,1199.42,1171.3,946.89,557.79,1107.71,1032.05
52,7,484.21,1059.59,,711.52,1216.77,1501.67,926.08,1092.19,875.66,586.85,914.44,1447.95,930.11,857.02
52,8,403.88,1210.6,,,,,793.63,,1246.2,,1012.37,1018.24,1552.9,847.8
52,9,,,504.02,,,,,629.97,,961.78,,2495.12,,726.99
52,10,1255.25,800.21,485.44,1118.4,1016.63,1173.37,,,1517.37,,,,1832.49,
52,11,,,,,1309.2,3423.14,,,1208.22,,,,,
52,12,,,972.65,,,,,,,,,,,
52,13,,170.91,,,1019.13,,,,,,,,,
52,15,,,,,,,,,,,,,1023.94,
52,Total,746.81,783.73,671.57,671.68,760.09,664.56,677.04,685.37,772.4,764.03,780.12,561.89,654.01,795.88
53,1,847.8,795.28,835.74,829.04,811.97,792.05,959.39,890.52,767.77,873.37,944.25,720.42,825.27,763.87
53,2,818.72,851.24,832.61,836.56,911.49,850.1,899.57,847.86,824.07,840.31,922.94,882.18,847.67,752.19
53,3,847.12,936.0,882.73,805.46,959.74,850.21,889.13,948.12,863.16,986.65,854.64,768.04,835.08,978.06
