Scenario,OrderSize,30201,50102,293874,300871,301060,343310,570183,612937,789124,987034
11,1,678.07,655.76,663.56,664.7,657.54,660.48,679.3,623.29,687.09,660.81
11,2,998.26,1089.29,1041.49,1083.19,1074.16,1195.01,1020.33,1016.36,1086.68,1093.85
11,3,1617.49,1561.86,1369.33,1588.11,1416.5,1507.13,1406.91,1614.48,1550.93,1499.45
11,4,1753.44,1682.61,1611.17,1776.37,1706.34,1777.35,1278.56,1861.96,1008.22,2029.59
11,5,1537.81,918.68,2987.32,1860.01,1960.01,1130.88,1605.23,1274.02,1407.07,1234.59
11,6,1692.05,2025.56,1147.69,1277.63,2084.92,,,,2194.05,775.33
11,Total,913.61,902.57,890.71,932.78,924.25,973.84,898.76,907.1,917.34,923.34
12,1,681.46,667.04,690.73,732.96,693.89,664.0,656.55,634.05,699.59,663.92
12,2,1124.67,1256.74,975.69,1191.73,1162.97,1151.33,1204.71,1207.16,1100.54,1199.32
12,3,1498.05,1638.58,1415.24,1482.27,1544.39,1663.48,1505.07,1272.27,1679.58,1653.16
12,4,1431.55,1143.67,1267.87,2052.64,1518.66,1803.98,1670.04,1908.5,1961.65,1657.45
12,5,1490.94,743.59,1827.54,2261.33,1586.33,1602.59,2010.67,1775.32,1179.87,1391.55
12,6,1984.52,1794.22,1181.93,1529.53,1788.83,1567.28,2024.52,1333.63,1366.91,1274.71
12,7,1675.46,1954.41,1604.24,1400.93,,,1417.91,2585.96,978.08,1039.08
12,8,1574.48,,2722.68,599.66,2340.46,869.71,,,,1454.2
12,9,1308.31,,,,1116.61,,2300.0,205.05,966.23,
12,10,,,2753.55,1261.74,,,,1322.5,,
12,11,,,1854.56,2055.84,1137.86,,,,,
12,13,,2964.64,,,,,,,,
12,Total,966.79,1010.79,925.37,1031.7,993.01,1013.25,985.47,973.7,971.48,1032.71
13,1,738.29,761.89,762.39,707.58,746.31,751.69,763.15,751.23,760.65,739.26
13,2,1196.06,1212.48,1266.0,1238.09,1253.41,1346.23,1174.05,1193.1,1217.32,1239.58
13,3,1368.9,1540.1,1475.85,1662.35,1542.42,1560.84,1499.23,1551.49,1567.02,1338.97
13,4,1531.19,1456.01,1939.83,1811.46,1598.91,1279.66,1369.07,1626.72,1275.24,1593.0
13,5,1595.25,1255.19,,1460.65,906.45,2001.95,1685.23,1654.98,,460.81
13,6,,,,874.03,2179.74,,,,1498.92,688.67
13,Total,949.11,966.08,997.44,963.41,988.13,1023.94,969.92,974.26,966.56,960.36
14,1,775.62,767.87,767.02,825.26,830.17,832.31,763.85,733.53,806.61,804.02
14,2,1278.54,1366.77,1234.92,1211.49,1364.96,1333.33,1310.1,1428.56,1386.25,1414.09
14,3,1447.37,1447.29,1550.37,1686.03,1682.89,1593.07,1459.77,1328.58,1784.09,1929.91
14,4,1781.41,1008.14,1376.31,1358.0,1717.62,1753.96,1834.41,1774.12,1726.33,1402.5
14,5,770.9,1501.67,1803.38,1582.4,1467.09,1350.02,1556.77,1968.53,1240.94,1252.09
14,6,2120.68,2424.82,1589.45,1371.98,996.09,1809.53,1910.71,1499.19,1370.15,1131.25
14,7,2365.23,,,1161.75,1537.1,2930.41,,,922.32,1749.75
14,8,2453.7,1365.47,,433.4,2416.52,1353.99,,,,
14,9,2980.58,,,,,,,210.18,1080.85,1566.14
14,10,1062.01,,1683.83,1911.59,,,,1395.96,,
14,11,,,,,1009.43,,,,,
14,Total,1027.87,1045.08,1026.65,1023.5,1114.69,1129.52,1030.83,1051.87,1085.17,1147.99
31,1,662.08,607.68,587.55,642.66,645.17,670.6,642.44,646.72,577.13,613.74
31,2,961.64,828.5,764.9,989.26,876.34,1012.97,894.24,977.87,764.83,859.08
31,3,1236.62,1052.18,976.27,1248.42,1238.29,1509.11,1118.06,1358.8,978.0,1030.77
31,4,1332.04,1078.23,1227.38,1310.48,1379.48,1493.15,1241.36,1293.02,1090.11,1150.23
31,5,1911.91,1334.64,1263.42,1681.91,1642.09,1114.79,1794.21,1713.71,890.76,1128.21
31,6,589.51,1123.17,984.7,1226.84,1446.15,569.0,,,1472.26,1733.57
31,7,,,,,,2996.09,,,,
31,Total,866.69,746.63,713.25,858.84,839.02,926.39,819.51,886.74,696.92,765.98
32,1,660.43,677.82,659.63,676.18,707.34,710.36,674.91,645.61,711.17,692.95
32,2,1043.86,1147.71,1067.83,1073.85,1186.8,1238.8,1073.08,1276.66,1078.55,1127.85
32,3,1492.75,1549.28,1322.21,1649.78,1630.1,1502.18,1540.96,1534.01,1620.22,1675.61
32,4,1648.3,1271.13,1606.36,1484.75,1828.48,1775.37,1780.77,1495.8,1260.78,1678.68
32,5,1797.64,1673.48,1854.39,2729.69,1643.33,1390.25,1745.68,1647.06,1739.47,1730.86
32,6,1589.0,1020.32,2140.8,1466.07,594.45,1523.31,1454.39,1905.7,1655.46,1686.22
32,7,1651.5,1780.45,2336.07,2035.85,1108.3,1224.59,1753.67,1894.72,1206.74,2112.19
