Scenario,30201,50102,130944,189463,293874,300871,301060,343310,470129,570183,612937,789124,846208,987034
11,1410.7317609786987,1384.7267806529999,1394.2127459049225,1354.4862060546875,1410.2924115657806,1371.021947145462,1407.6364443302155,1367.8664433956146,1376.6557791233063,1402.8850247859955,1386.3212728500366,1347.7867710590363,1370.0838088989258,1372.2680187225342
12,1398.3821749687195,1364.0652551651,1404.0327248573303,1344.7973868846893,1356.8858704566956,1364.2825186252594,1369.9529974460602,1340.0901753902435,1343.152659893036,1365.4057533740997,1364.7964770793915,1378.6060917377472,1341.838220834732,1345.1521337032318
13,1362.9056656360626,1349.2562551498413,1335.210877418518,1337.6401915550232,1380.6726973056793,1337.414803981781,1390.3707616329193,1349.6553523540497,1303.8251903057098,1384.3039140701294,1361.2524712085724,1334.6504392623901,1319.8449938297272,1366.9544746875763
14,1367.3911657333374,1374.6458892822266,1346.7813160419464,1368.881328344345,1378.864970445633,1363.130206823349,1358.9712994098663,1352.8494658470154,1353.1174561977386,1366.2148633003235,1335.7827682495117,1347.7190959453583,1330.7464559078217,1355.6250259876251
31,1343.7828788757324,1358.8140392303467,1398.8487038612366,1354.660486459732,1347.9537544250488,1354.9737458229065,1398.579260110855,1351.701900959015,1339.9806370735168,1365.637619972229,1350.8812062740326,1354.4608380794525,1376.8935441970825,1356.8093876838684
32,1337.5811777114868,1374.8387024402618,1348.1436049938202,1338.6224746704102,1343.8895258903503,1371.5041007995605,1348.4835875034332,1381.922854423523,1340.896188735962,1346.1409833431244,1348.6831135749817,1351.0637383460999,1345.0276472568512,1373.728095293045
33,1350.6500670909882,1379.3470151424408,1387.3797571659088,1378.8605546951294,1373.84086227417,1357.6890025138855,1413.0253067016602,1397.8067286014557,1403.0529201030731,1352.6403465270996,1337.9299759864807,1382.9186522960663,1352.149629831314,1420.0680072307587
34,1397.449060678482,1348.1021976470947,1337.007223367691,1385.3614501953125,1334.8239262104034,1359.3495423793793,1345.7644519805908,1360.2135319709778,1373.6888241767883,1348.3147253990173,1356.369302034378,1346.944902420044,1340.988362789154,1355.160860300064
51,1353.1019577980042,1398.2828714847565,1349.8428835868835,1372.552546262741,1415.9596436023712,1366.4425511360168,1359.1054470539093,1371.4026565551758,1350.881531715393,1345.6332347393036,1360.0073447227478,1337.696507692337,1383.474493265152,1346.8205683231354
52,1356.8588047027588,1343.7242140769958,1338.1272597312927,1337.6674437522888,1359.2597830295563,1341.9058785438538,1339.3565289974213,1354.9927246570587,1338.1660287380219,1339.0187623500824,1334.8019018173218,1334.9177176952362,1336.3056519031525,1337.4944002628326
53,1361.8845949172974,1374.9810087680817,1377.2099404335022,1343.7043154239655,1352.9910714626312,1349.0612428188324,1345.3690485954285,1343.380934715271,1358.0464854240417,1337.302551984787,1363.594148159027,1364.4997951984406,1389.0058827400208,1343.2822949886322
54,1362.200632572174,1333.93701171875,1350.0333473682404,1334.5802216529846,1332.2963366508484,1375.0632088184357,1333.8633320331573,1371.8481738567352,1329.757194519043,1353.9946718215942,1361.531576871872,1356.2056827545166,1332.9868330955505,1346.8690991401672
